site_name,short_name,site,Latitude,Longitude
ANTHOINE CREEK - AC01,Anthoine Creek 1,AC01,43.629,-70.267
ANTHOINE CREEK - AC02,Anthoine Creek 2,AC02,43.63,-70.264
ANTHOINE CREEK - AC04,Anthoine Creek 4,AC04,43.632,-70.261
ANTHOINE CREEK - AC05,Anthoine Creek 5,AC05,43.63386,-70.25861
BANDM RAILROAD TRESTLE - BMR02,B&M Railroad,BMR02,43.676316,-70.250002
CLAPBOARD ISLAND - P7CBI,Clapboard Island,P7CBI,43.719167,-70.203056
COUSINS RIVER - CR00,Cousins 00,CR00,43.82922,-70.14582
COUSINS RIVER - CR-31,Cousins 31,CR-31,43.81201,-70.153415
COUSINS RIVER - CR-44,Cousins 44,CR-44,43.79731,-70.14607
COUSINS RIVER - CRTRIB0,Cousins Trib,CRTRIB0,43.8212,-70.16126
EAST END BEACH - EEB18,East End Beach,EEB18,43.67122,-70.241945
FORE RIVER - FR01,Fore River 1,FR01,43.65889,-70.31111
FORE RIVER - FR02,Fore River 2,FR02,43.6526,-70.30021
FORE RIVER - FR03,Fore River 3,FR03,43.64317,-70.28558
FORE RIVER - FR04,Fore River 4,FR04,43.64074,-70.27357
FORE RIVER - FR05A,Fore River 5a,FR05A,43.641661,-70.26118
FORE RIVER - FR05B,Fore River 5b,FR05B,43.642394,-70.26035
FORE RIVER - FR06,Fore River 6,FR06,43.64389,-70.25778
FORE RIVER - FR07,Fore River 7,FR07,43.6486,-70.2544
FORE RIVER - FR08,Fore River 8,FR08,43.65611,-70.25
FORE RIVER - FR09,Fore River 9,FR09,43.6577,-70.23539
FORT GORGES - P6FGG,Fort Gorges,P6FGG,43.662222,-70.226389
HARRASEEKET RIVER - HR01,Harraseeket 1,HR01,43.84239,-70.09994
HARRASEEKET RIVER - HR02,Harraseeket 2,HR02,43.839789,-70.08581
HARRASEEKET RIVER - HR03,Harraseeket 3,HR03,43.82949,-70.09537
HARRASEEKET RIVER - HR04,Harraseeket 4,HR04,43.81995,-70.1044
HARRASEEKET RIVER - HR05,Harraseeket 5,HR05,43.80438,-70.09833
LONG CREEK - LC01,Long Creek 1,LC01,43.63326,-70.31305
LONG CREEK - LC02,Long Creek 2,LC02,43.643658,-70.292762
PRESUMPSCOT RIVER - CBPR,Presumpscot Mouth,CBPR,43.679895,-70.237156
PRESUMPSCOT RIVER - PR01,Presumpscot 01,PR01,43.72063,-70.273025
PRESUMPSCOT RIVER - PR-13,Presumpscot 13,PR-13,43.71316,-70.24715
PRESUMPSCOT RIVER - PR-17,Presumpscot 17,PR-17,43.70599,-70.24723
PRESUMPSCOT RIVER - PR-19,Presumpscot 19,PR-19,43.70364,-70.24398
PRESUMPSCOT RIVER - PR-28,Presumpscot 28,PR-28,43.69067,-70.24642
ROYAL RIVER - RR00,Royal 00,RR00,43.798663,-70.178415
ROYAL RIVER - RR00,Royal A,RR00_A,43.798663,-70.178415
ROYAL RIVER - RR-01,Royal 01,RR-01,43.798078,-70.17773
ROYAL RIVER - RR-06,Royal 06,RR-06,43.794604,-70.168016
ROYAL RIVER - RR-13,Royal 13,RR-13,43.79018,-70.156381
ROYAL RIVER - RR-19,Royal 19,RR-19,43.795518,-70.145465
ROYAL RIVER - RR-20,Royal 20,RR-20,43.796011,-70.143715
TROUT BROOK - TB01,Trout Brook,TB01,43.63663,-70.24934
WALTON PARK - PRV70,Walton Park,PRV70,43.716911,-70.263999
