site,short_name,years,nox_n_mn,nox_n_sd,nox_n_n,nox_n_md,nox_n_iqr,nox_n_p90,nox_n_gm,nh4_n_mn,nh4_n_sd,nh4_n_n,nh4_n_md,nh4_n_iqr,nh4_n_p90,nh4_n_gm,din_mn,din_sd,din_n,din_md,din_iqr,din_p90,din_gm,on_mn,on_sd,on_n,on_md,on_iqr,on_p90,on_gm,tn_mn,tn_sd,tn_n,tn_md,tn_iqr,tn_p90,tn_gm,chl_mn,chl_sd,chl_n,chl_md,chl_iqr,chl_p90,chl_gm,tss_mn,tss_sd,tss_n,tss_md,tss_iqr,tss_p90,tss_gm
AC01,Anthoine Creek 1,2015,0.173,0.07764878191789831,4,0.14600000000000002,0.07100000000000001,0.249,0.1618853659641609,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
AC02,Anthoine Creek 2,2015,0.33225,0.05381062472535822,4,0.32899999999999996,0.07425000000000004,0.38350000000000006,0.3289920526323916,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
AC04,Anthoine Creek 4,2015,0.23324999999999999,0.052480948924347764,4,0.2455,0.04625000000000001,0.2742,0.22825443761660325,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
AC05,Anthoine Creek 5,2015,0.2015,0.04878865988458111,4,0.1985,0.03500000000000003,0.2454,0.1970559158730528,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
BMR02,B&M Railroad,2018 - 2020,0.027104545454545454,0.019402711574679876,22,0.0223,0.030350000000000002,0.05148000000000002,0.01921366578908618,0.0245,0.01612941086143081,20,0.0185,0.019749999999999997,0.04500000000000001,0.020370689185740462,0.050965,0.03041476917897827,20,0.04325,0.05027499999999999,0.08390000000000004,0.042046690510642665,0.31396666666666667,0.2200767483209327,12,0.30145,0.13665,0.38660000000000005,0.2639325980206446,0.32954235991565217,0.1818242732422199,23,0.303,0.16672967862999996,0.4176,0.29897547672515995,2.8704347826086956,1.988662611955513,23,2.45,1.9,5.392,2.304719787344893,4.708695652173913,1.355431177112777,23,4.3,1.7000000000000002,6.5600000000000005,4.53640945755098
CBPR,Presumpscot Mouth,2018 - 2020,0.029717391304347827,0.017938978692270614,23,0.024,0.029949999999999997,0.05650000000000001,0.024492915692096183,0.023428571428571427,0.01767079915728609,21,0.016,0.023,0.042,0.017824115684706425,0.05193333333333333,0.030452066158691653,21,0.046,0.04590000000000001,0.0862,0.04432958446075923,0.22662307692307693,0.09250478504601942,13,0.2284,0.07819999999999999,0.28538,0.20988370429133807,0.2747647623588,0.0887484925613966,25,0.274,0.12200000000000003,0.357480038386,0.26108030893152173,2.4663478260869565,1.2653557030874631,23,2.22,1.7799999999999998,4.032,2.129354818732268,5.572,2.7034730748921225,25,5,3.3,8.180000000000001,5.053233983419602
CR-31,Cousins 31,2017,0.1235,0.08284865720094683,6,0.10200000000000001,0.07999999999999999,0.218,0.10095190714576166,0.05766666666666667,0.07927336669188882,6,0.014,0.07825000000000001,0.1535,0.022099699167974926,0.18116666666666667,0.14956927046244045,6,0.112,0.22150000000000003,0.3715,0.13419764059961442,0.272,0.12169141300847815,6,0.2585,0.13075000000000003,0.4015,0.24477578319888754,0.45316666666666666,0.2576582361708367,6,0.352,0.38625,0.773,0.3964538485445161,8.955,8.388555894789043,6,4.57,12.069999999999999,19.7,6.081313162179641,22.35,26.171568542981905,6,11.9,9.275,47,15.221365228361838
CR-44,Cousins 44,2017,0.04666666666666667,0.035019042438840804,3,0.048,0.035,0.0744,0.03497086009950874,0.04733333333333333,0.049973326218427094,3,0.036,0.048999999999999995,0.08879999999999999,0.024489930611504087,0.094,0.07037755323965163,3,0.11699999999999999,0.0675,0.14339999999999997,0.06408988022546874,0.383,0.015099668870541512,3,0.381,0.015000000000000013,0.3954,0.3828024827621719,0.47700000000000004,0.08088881257627659,3,0.516,0.07350000000000007,0.528,0.47209037817358274,3.59,2.5855947091530025,3,3.32,2.5749999999999997,5.704,2.886636892761001,22.03333333333333,19.25106057684442,3,14,17.95,37.99999999999999,17.08789540398039
CR00,Cousins 00,2017,0.25883333333333336,0.1289859165438873,6,0.2765,0.10449999999999998,0.37649999999999995,0.23042072175602987,0.05366666666666666,0.05197563531758574,6,0.045,0.05975,0.10799999999999998,0.031728086098552516,0.3125,0.16333615643818727,6,0.3215,0.21324999999999997,0.48449999999999993,0.2714436577288519,0.3375,0.1775587226806951,6,0.29100000000000004,0.056999999999999995,0.5055,0.30839499078016386,0.65,0.19330287116336373,6,0.6910000000000001,0.2739999999999999,0.837,0.6223732320403844,18.018333333333334,24.88471692960695,6,4.585,28.0275,48.650000000000006,5.501445487692588,23.333333333333332,15.35795125225584,6,18.5,16.5,41.5,18.257293944067474
CRTRIB0,Cousins Trib,2017,0.11966666666666667,0.09162896194253575,6,0.1135,0.15400000000000003,0.217,0.08257206929993294,0.09616666666666666,0.12700774254614033,6,0.0245,0.19575,0.2595,0.02950642077036984,0.21583333333333332,0.20934413454087186,6,0.138,0.33999999999999997,0.4765,0.12469346645985058,0.5546666666666666,0.38271329564919304,6,0.46599999999999997,0.10599999999999993,0.9059999999999999,0.47372167438109375,0.7705,0.35076701669341714,6,0.7144999999999999,0.4287500000000001,1.151,0.706450936379362,22.31833333333333,32.01348616859255,6,11.82,14.837499999999997,52.75,7.273352690706153,18.616666666666667,8.364309096791358,6,18.5,9.75,27.5,16.909105635793736
