site_name,site,depth_designation,dt,month,year,time,hour,depth,chl,chl_cens,chl_flag,phaeo,phaeo_flag,phaeo_cens,nox_n,nox_n_cens,nox_n_flag,nh4_n,nh4_n_cens,nh4_n_flag,tn,tn_flag,op_p,op_p_flag,tp,tp_cens,tp_flag,tss,tss_cens,tss_flag,Sample Comments,Validation Comments,Latitude,Longitude
ANTHOINE CREEK - AC01,AC01,,2015-07-27,Jul,2015,12:50,12,0.2,,FALSE,FALSE,,FALSE,FALSE,0.285,FALSE,FALSE,,FALSE,FALSE,,FALSE,0.009,FALSE,0.0127,FALSE,FALSE,,FALSE,FALSE,,,43.629,-70.267
ANTHOINE CREEK - AC01,AC01,,2015-08-10,Aug,2015,11:17,11,0.2,,FALSE,FALSE,,FALSE,FALSE,0.127,FALSE,FALSE,,FALSE,FALSE,,FALSE,0.012,TRUE,0.023,FALSE,TRUE,,FALSE,FALSE,,SAMPLE BEYOND HOLDING TIME BY 5 HOURS,43.629,-70.267
ANTHOINE CREEK - AC01,AC01,,2015-08-26,Aug,2015,12:40,12,0.2,,FALSE,FALSE,,FALSE,FALSE,0.165,FALSE,FALSE,,FALSE,FALSE,,FALSE,0.0127,FALSE,0.031,FALSE,TRUE,,FALSE,FALSE,,,43.629,-70.267
ANTHOINE CREEK - AC01,AC01,,2015-09-23,Sep,2015,12:40,12,0.2,,FALSE,FALSE,,FALSE,FALSE,0.115,FALSE,FALSE,,FALSE,FALSE,,FALSE,0.0093,FALSE,0.025,FALSE,TRUE,,FALSE,FALSE,,,43.629,-70.267
ANTHOINE CREEK - AC02,AC02,,2015-07-27,Jul,2015,13:10,13,0.2,,FALSE,FALSE,,FALSE,FALSE,0.394,FALSE,FALSE,,FALSE,FALSE,,FALSE,0.0095,FALSE,0.0111,FALSE,FALSE,,FALSE,FALSE,,,43.63,-70.264
ANTHOINE CREEK - AC02,AC02,,2015-08-10,Aug,2015,11:40,11,0.2,,FALSE,FALSE,,FALSE,FALSE,0.277,FALSE,FALSE,,FALSE,FALSE,,FALSE,0.0087,TRUE,0.037,FALSE,TRUE,,FALSE,FALSE,,SAMPLE BEYOND HOLDING TIME BY 5 HOURS,43.63,-70.264
ANTHOINE CREEK - AC02,AC02,,2015-08-26,Aug,2015,12:55,12,0.2,,FALSE,FALSE,,FALSE,FALSE,0.359,FALSE,FALSE,,FALSE,FALSE,,FALSE,0.0164,FALSE,0.03,FALSE,TRUE,,FALSE,FALSE,,,43.63,-70.264
ANTHOINE CREEK - AC02,AC02,,2015-09-23,Sep,2015,13:00,13,0.2,,FALSE,FALSE,,FALSE,FALSE,0.299,FALSE,FALSE,,FALSE,FALSE,,FALSE,0.0082,FALSE,0.032,FALSE,TRUE,,FALSE,FALSE,,,43.63,-70.264
ANTHOINE CREEK - AC04,AC04,,2015-07-27,Jul,2015,13:25,13,0.2,,FALSE,FALSE,,FALSE,FALSE,0.282,FALSE,FALSE,,FALSE,FALSE,,FALSE,0.0174,FALSE,0.0428,FALSE,FALSE,,FALSE,FALSE,,,43.632,-70.261
ANTHOINE CREEK - AC04,AC04,,2015-08-10,Aug,2015,12:00,12,0.2,,FALSE,FALSE,,FALSE,FALSE,0.16,FALSE,FALSE,,FALSE,FALSE,,FALSE,0.018,TRUE,0.105,FALSE,TRUE,,FALSE,FALSE,,SAMPLE BEYOND HOLDING TIME BY 5 HOURS,43.632,-70.261
