site_name,site,dt,month,year,time,hour,secchi,secchi_on_bottom,Sample Comments,Validation Comments
BANDM RAILROAD TRESTLE - BMR02,BMR02,2018-05-10,May,2018,NA,NA,3.7,TRUE,DISK HIT BOTTOM,NA
BANDM RAILROAD TRESTLE - BMR02,BMR02,2018-05-31,May,2018,NA,NA,3.15,FALSE,NA,NA
BANDM RAILROAD TRESTLE - BMR02,BMR02,2018-06-25,Jun,2018,NA,NA,2.75,FALSE,NA,NA
BANDM RAILROAD TRESTLE - BMR02,BMR02,2018-07-18,Jul,2018,NA,NA,3.16,FALSE,NA,NA
BANDM RAILROAD TRESTLE - BMR02,BMR02,2018-08-08,Aug,2018,NA,NA,2.36,FALSE,NA,NA
BANDM RAILROAD TRESTLE - BMR02,BMR02,2018-08-30,Aug,2018,NA,NA,2.35,FALSE,NA,NA
BANDM RAILROAD TRESTLE - BMR02,BMR02,2018-09-20,Sep,2018,NA,NA,2.66,FALSE,NA,NA
BANDM RAILROAD TRESTLE - BMR02,BMR02,2018-10-12,Oct,2018,NA,NA,2.88,FALSE,NA,NA
BANDM RAILROAD TRESTLE - BMR02,BMR02,2019-05-15,May,2019,NA,NA,2.34,FALSE,NA,NA
BANDM RAILROAD TRESTLE - BMR02,BMR02,2019-06-05,Jun,2019,NA,NA,2.82,FALSE,NA,NA
BANDM RAILROAD TRESTLE - BMR02,BMR02,2019-06-27,Jun,2019,NA,NA,2.08,FALSE,NA,NA
BANDM RAILROAD TRESTLE - BMR02,BMR02,2019-07-19,Jul,2019,NA,NA,1.95,FALSE,NA,NA
BANDM RAILROAD TRESTLE - BMR02,BMR02,2019-08-12,Aug,2019,NA,NA,2.45,FALSE,NA,NA
BANDM RAILROAD TRESTLE - BMR02,BMR02,2019-09-03,Sep,2019,NA,NA,2.22,FALSE,NA,NA
BANDM RAILROAD TRESTLE - BMR02,BMR02,2019-09-24,Sep,2019,NA,NA,2.83,FALSE,NA,NA
BANDM RAILROAD TRESTLE - BMR02,BMR02,2019-10-16,Oct,2019,NA,NA,2.91,FALSE,NA,NA
BANDM RAILROAD TRESTLE - BMR02,BMR02,2020-05-26,May,2020,NA,NA,2.69,FALSE,NA,NA
BANDM RAILROAD TRESTLE - BMR02,BMR02,2020-06-16,Jun,2020,NA,NA,3.2,TRUE,DISK HIT BOTTOM,NA
BANDM RAILROAD TRESTLE - BMR02,BMR02,2020-07-16,Jul,2020,NA,NA,1.48,FALSE,NA,NA
BANDM RAILROAD TRESTLE - BMR02,BMR02,2020-07-29,Jul,2020,NA,NA,2.67,FALSE,NA,NA
BANDM RAILROAD TRESTLE - BMR02,BMR02,2020-08-21,Aug,2020,NA,NA,2.8,FALSE,NA,NA
BANDM RAILROAD TRESTLE - BMR02,BMR02,2020-09-14,Sep,2020,NA,NA,3.2,TRUE,DISK HIT BOTTOM,NA
BANDM RAILROAD TRESTLE - BMR02,BMR02,2020-10-19,Oct,2020,NA,NA,3.52,FALSE,NA,NA
CLAPBOARD ISLAND - P7CBI,P7CBI,2018-05-10,May,2018,NA,NA,6.78,FALSE,NA,NA
CLAPBOARD ISLAND - P7CBI,P7CBI,2018-05-31,May,2018,NA,NA,4.1,FALSE,NA,NA
CLAPBOARD ISLAND - P7CBI,P7CBI,2018-06-25,Jun,2018,NA,NA,4.28,FALSE,NA,NA
CLAPBOARD ISLAND - P7CBI,P7CBI,2018-07-18,Jul,2018,NA,NA,4.52,FALSE,NA,NA
CLAPBOARD ISLAND - P7CBI,P7CBI,2018-08-08,Aug,2018,NA,NA,4.79,FALSE,NA,NA
CLAPBOARD ISLAND - P7CBI,P7CBI,2018-08-30,Aug,2018,NA,NA,2.88,FALSE,NA,NA
CLAPBOARD ISLAND - P7CBI,P7CBI,2018-09-20,Sep,2018,NA,NA,2.45,FALSE,NA,NA
CLAPBOARD ISLAND - P7CBI,P7CBI,2018-10-12,Oct,2018,NA,NA,2.87,FALSE,NA,NA
CLAPBOARD ISLAND - P7CBI,P7CBI,2019-09-24,Sep,2019,NA,NA,3.48,FALSE,NA,NA
COUSINS RIVER - CR-31,CR-31,2017-06-01,Jun,2017,NA,NA,0.26,FALSE,NA,NA
COUSINS RIVER - CR-31,CR-31,2017-06-26,Jun,2017,NA,NA,1.61,FALSE,NA,NA
COUSINS RIVER - CR-31,CR-31,2017-07-17,Jul,2017,NA,NA,0.6,FALSE,NA,NA
COUSINS RIVER - CR-31,CR-31,2017-08-07,Aug,2017,NA,NA,1.07,FALSE,NA,NA
COUSINS RIVER - CR-31,CR-31,2017-08-29,Aug,2017,NA,NA,1.7,FALSE,NA,NA
COUSINS RIVER - CR-31,CR-31,2017-09-20,Sep,2017,NA,NA,1.29,FALSE,NA,NA
COUSINS RIVER - CR-44,CR-44,2017-06-01,Jun,2017,NA,NA,0.34,FALSE,NA,NA
COUSINS RIVER - CR-44,CR-44,2017-07-17,Jul,2017,NA,NA,0.99,FALSE,NA,NA
COUSINS RIVER - CR-44,CR-44,2017-08-29,Aug,2017,NA,NA,1.28,FALSE,NA,NA
EAST END BEACH - EEB18,EEB18,2018-05-10,May,2018,NA,NA,2.1,TRUE,DISK HIT BOTTOM,NA
EAST END BEACH - EEB18,EEB18,2018-05-31,May,2018,NA,NA,2.78,FALSE,NA,NA
EAST END BEACH - EEB18,EEB18,2018-06-25,Jun,2018,NA,NA,2.8,TRUE,DISK HIT BOTTOM,NA
EAST END BEACH - EEB18,EEB18,2018-07-18,Jul,2018,NA,NA,1.62,FALSE,NA,NA
EAST END BEACH - EEB18,EEB18,2018-08-08,Aug,2018,NA,NA,2.3,TRUE,DISK HIT BOTTOM,NA
EAST END BEACH - EEB18,EEB18,2018-08-30,Aug,2018,NA,NA,2.13,FALSE,NA,NA
EAST END BEACH - EEB18,EEB18,2018-09-20,Sep,2018,NA,NA,2.55,TRUE,DISK HIT BOTTOM,NA
EAST END BEACH - EEB18,EEB18,2018-10-12,Oct,2018,NA,NA,2.61,FALSE,NA,NA
EAST END BEACH - EEB18,EEB18,2019-05-15,May,2019,NA,NA,1.8,TRUE,DISK HIT BOTTOM,NA
EAST END BEACH - EEB18,EEB18,2019-06-05,Jun,2019,NA,NA,2.74,FALSE,NA,NA
EAST END BEACH - EEB18,EEB18,2019-06-27,Jun,2019,NA,NA,1.73,FALSE,NA,NA
EAST END BEACH - EEB18,EEB18,2019-07-19,Jul,2019,NA,NA,1.63,FALSE,NA,NA
EAST END BEACH - EEB18,EEB18,2019-08-12,Aug,2019,NA,NA,1.8,TRUE,DISK HIT BOTTOM,NA
EAST END BEACH - EEB18,EEB18,2019-09-03,Sep,2019,NA,NA,2.42,FALSE,NA,NA
EAST END BEACH - EEB18,EEB18,2019-09-24,Sep,2019,NA,NA,2.3,TRUE,DISK HIT BOTTOM,NA
EAST END BEACH - EEB18,EEB18,2019-10-16,Oct,2019,NA,NA,2.52,FALSE,NA,NA
EAST END BEACH - EEB18,EEB18,2020-05-26,May,2020,NA,NA,2.5,TRUE,DISK HIT BOTTOM,NA
EAST END BEACH - EEB18,EEB18,2020-06-16,Jun,2020,NA,NA,2.3,TRUE,DISK HIT BOTTOM,NA
EAST END BEACH - EEB18,EEB18,2020-07-16,Jul,2020,NA,NA,1.49,FALSE,NA,NA
EAST END BEACH - EEB18,EEB18,2020-07-29,Jul,2020,NA,NA,2.3,TRUE,DISK HIT BOTTOM,NA
EAST END BEACH - EEB18,EEB18,2020-08-21,Aug,2020,NA,NA,2.2,FALSE,NA,NA
EAST END BEACH - EEB18,EEB18,2020-09-14,Sep,2020,NA,NA,2.4,TRUE,DISK HIT BOTTOM,NA
EAST END BEACH - EEB18,EEB18,2020-10-19,Oct,2020,NA,NA,3.14,FALSE,NA,NA
FORE RIVER - FR03,FR03,2016-06-27,Jun,2016,NA,NA,2.02,FALSE,NA,NA
FORE RIVER - FR03,FR03,2016-07-21,Jul,2016,NA,NA,2.18,FALSE,NA,NA
FORE RIVER - FR03,FR03,2016-08-23,Aug,2016,NA,NA,1.78,FALSE,NA,NA
FORE RIVER - FR03,FR03,2016-09-19,Sep,2016,NA,NA,2.11,FALSE,NA,NA
FORE RIVER - FR04,FR04,2016-06-27,Jun,2016,NA,NA,1.88,FALSE,NA,NA
FORE RIVER - FR04,FR04,2016-07-21,Jul,2016,NA,NA,1.97,FALSE,NA,NA
FORE RIVER - FR04,FR04,2016-08-23,Aug,2016,NA,NA,2.1,FALSE,NA,NA
FORE RIVER - FR04,FR04,2016-09-19,Sep,2016,NA,NA,1.92,FALSE,NA,NA
FORE RIVER - FR05A,FR05A,2016-07-21,Jul,2016,NA,NA,1.94,FALSE,NA,NA
FORE RIVER - FR05A,FR05A,2016-09-19,Sep,2016,NA,NA,1.92,FALSE,NA,NA
FORE RIVER - FR05B,FR05B,2016-06-27,Jun,2016,NA,NA,2.05,TRUE,DISK HIT BOTTOM,NA
FORE RIVER - FR05B,FR05B,2016-08-23,Aug,2016,NA,NA,2.35,TRUE,DISK HIT BOTTOM,NA
FORE RIVER - FR07,FR07,2016-06-27,Jun,2016,NA,NA,2.45,FALSE,"WATER CONDITIONS WINDY, MADE VIEWING DIFFICULT",NA
